Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2020,1,6,19,30,9,90,95,14,92.01,70.79,2.1,1008,1.7000000000000002,7.800000000000001,8,0.1
2020,1,6,20,30,9.4,104,115,31,91.93,70.14,2.2,1008,1.6,8.200000000000001,7,0.1
2020,1,6,21,30,9.600000000000001,15,15,0,92,72.04,2.2,1008,1.5,8.4,7,0.1
2020,1,6,22,30,9.5,43,43,0,93.10000000000001,76.29,2.2,1008,1.4000000000000001,8.4,4,0.1
2020,1,6,23,30,9.4,25,25,0,93.7,82.48,2.2,1008,1.3,8.4,4,0.1
2020,1,7,0,30,9,2,2,0,95.49,89.81,2.2,1008,1.2000000000000002,8.3,7,0.1
2020,1,7,1,30,9,0,0,0,95.57000000000001,99.2,2.2,1009,1.2000000000000002,8.3,7,0.1
2020,1,7,2,30,9,0,0,0,95.9,108.79,2.2,1009,1.3,8.4,8,0.1
2020,1,7,3,30,9.200000000000001,0,0,0,95.24,118.79,2.2,1009,1.4000000000000001,8.5,8,0.1
2020,1,7,4,30,9.4,0,0,0,94.97,128.86,2.2,1008,1.4000000000000001,8.6,8,0.1
2020,1,7,5,30,9.4,0,0,0,95.77,138.57,2.2,1008,1.4000000000000001,8.8,6,0.1
2020,1,7,6,30,9.5,0,0,0,95.2,147.16,2.2,1008,1.5,8.8,6,0.1
2020,1,7,7,30,9.5,0,0,0,95.22,153.21,2.2,1007,1.6,8.8,8,0.1
2020,1,7,8,30,9.600000000000001,0,0,0,94.64,154.63,2.2,1006,1.7000000000000002,8.8,6,0.1
2020,1,7,9,30,9.600000000000001,0,0,0,94.32000000000001,150.70000000000002,2.2,1006,1.7000000000000002,8.700000000000001,6,0.1
2020,1,7,10,30,9.600000000000001,0,0,0,93.77,143.17000000000002,2.2,1005,1.6,8.6,8,0.1
2020,1,7,11,30,9.5,0,0,0,93.82000000000001,133.9,2.1,1005,1.6,8.6,8,0.1
2020,1,7,12,30,9.4,0,0,0,94.09,123.94,2,1004,1.5,8.5,8,0.1
2020,1,7,13,30,9.3,0,0,0,94.38,113.85000000000001,2,1003,1.5,8.4,8,0.1
2020,1,7,14,30,9.1,0,0,0,94.18,104,2,1002,1.6,8.200000000000001,7,0.1
2020,1,7,15,30,9,0,0,0,93.02,94.72,2,1002,1.6,7.9,6,0.1
2020,1,7,16,30,9,12,12,0,91.59,86.14,2,1001,1.6,7.7,6,0.1
2020,1,7,17,30,9.3,47,47,0,89.83,79.17,1.9000000000000001,1001,1.7000000000000002,7.7,7,0.1
2020,1,7,18,30,9.600000000000001,110,140,109,89,73.85000000000001,1.9000000000000001,1000,1.7000000000000002,7.9,7,0.1
2020,1,7,19,30,9.700000000000001,133,184,154,88.39,70.68,1.9000000000000001,999,1.6,7.9,7,0.1
2020,1,7,20,30,9.8,126,166,117,87.61,70.01,1.9000000000000001,997,1.6,7.800000000000001,4,0.1
2020,1,7,21,30,9.8,111,146,114,87.36,71.9,1.8,996,1.5,7.800000000000001,7,0.1
2020,1,7,22,30,9.600000000000001,58,58,0,88.12,76.14,1.8,995,1.5,7.7,8,0.1
2020,1,7,23,30,9.3,26,26,0,88.25,82.32000000000001,1.8,995,1.5,7.5,8,0.1
2020,1,8,0,30,8.5,2,2,0,91.45,89.68,1.6,995,1.4000000000000001,7.2,6,0.1
2020,1,8,1,30,8.3,0,0,0,93.12,99.04,1.6,996,1.3,7.300000000000001,7,0.1
